date	groupes	genre	renouveau	sorts	origine	total
2012-07-02	UMP	H	anciens	Retiré	hemicycle	1
2012-07-06	SRC	H	anciens	Adopté	hemicycle	2
2012-07-11	UMP	H	anciens	Rejeté	hemicycle	2
2012-07-11	UMP	H	anciens	Retiré	hemicycle	6
2012-07-12	NI	H	anciens	Retiré	hemicycle	1
2012-07-12	SRC	H	anciens	Adopté	hemicycle	6
2012-07-12	SRC	H	anciens	Retiré	hemicycle	3
2012-07-12	UDI	H	anciens	Retiré	hemicycle	1
2012-07-12	UMP	H	anciens	Non soutenu	hemicycle	8
2012-07-12	UMP	H	anciens	Rejeté	hemicycle	15
2012-07-12	UMP	H	anciens	Retiré	hemicycle	10
2012-07-12	UMP	H	nouveaux	Rejeté	hemicycle	5
2012-07-12	UMP	H	nouveaux	Retiré	hemicycle	1
2012-07-13	ECOLO	F	nouveaux	Rejeté	hemicycle	2
2012-07-13	GDR	H	nouveaux	Rejeté	hemicycle	1
2012-07-13	GDR	H	nouveaux	Retiré	hemicycle	4
2012-07-13	NI	F	nouveaux	Non soutenu	hemicycle	1
2012-07-13	NI	F	nouveaux	Rejeté	hemicycle	3
2012-07-13	NI	H	anciens	Non soutenu	hemicycle	1
2012-07-13	SRC	H	anciens	Adopté	hemicycle	41
2012-07-13	SRC	H	anciens	Retiré	hemicycle	5
2012-07-13	SRC	H	anciens	Tombe	hemicycle	1
2012-07-13	SRC	H	nouveaux	Retiré	hemicycle	1
2012-07-13	UDI	H	anciens	Non soutenu	hemicycle	13
2012-07-13	UDI	H	anciens	Rejeté	hemicycle	43
2012-07-13	UDI	H	anciens	Retiré	hemicycle	7
2012-07-13	UDI	H	anciens	Tombe	hemicycle	7
2012-07-13	UMP	F	anciens	Non soutenu	hemicycle	4
2012-07-13	UMP	F	anciens	Rejeté	hemicycle	6
2012-07-13	UMP	F	nouveaux	Non soutenu	hemicycle	2
2012-07-13	UMP	F	nouveaux	Rejeté	hemicycle	9
2012-07-13	UMP	H	anciens	Adopté	hemicycle	1
2012-07-13	UMP	H	anciens	Irrecevable	hemicycle	1
2012-07-13	UMP	H	anciens	Non soutenu	hemicycle	49
2012-07-13	UMP	H	anciens	Rejeté	hemicycle	116
2012-07-13	UMP	H	anciens	Retiré	hemicycle	4
2012-07-13	UMP	H	anciens	Tombe	hemicycle	5
2012-07-13	UMP	H	nouveaux	Non soutenu	hemicycle	22
