date	groupes	genre	renouveau	sorts	total
2017-07-03	LFI	H	nouveaux	Rejeté	1
2017-07-04	GDR	H	nouveaux	Rejeté	27
2017-07-04	LC	F	anciens	Non soutenu	2
2017-07-04	LC	H	anciens	Rejeté	2
2017-07-04	LC	H	anciens	Retiré	2
2017-07-04	LFI	H	nouveaux	Irrecevable	1
2017-07-04	LFI	H	nouveaux	Non soutenu	3
2017-07-04	LFI	H	nouveaux	Rejeté	81
2017-07-04	LFI	H	nouveaux	Retiré	4
2017-07-04	LR	H	anciens	Non soutenu	7
2017-07-04	LR	H	anciens	Rejeté	24
2017-07-04	LR	H	anciens	Retiré	5
2017-07-04	NG	H	anciens	Rejeté	18
2017-07-04	NI	H	anciens	Rejeté	1
2017-07-05	LC	F	anciens	Non soutenu	1
2017-07-05	LC	H	anciens	Non soutenu	1
2017-07-05	LC	H	anciens	Rejeté	1
2017-07-05	LFI	F	nouveaux	Rejeté	1
2017-07-05	LFI	H	nouveaux	Irrecevable	2
2017-07-05	LFI	H	nouveaux	Rejeté	7
2017-07-05	LR	H	anciens	Irrecevable	1
2017-07-05	LR	H	anciens	Non soutenu	3
2017-07-05	LR	H	anciens	Rejeté	5
2017-07-05	LR	H	anciens	Retiré	1
2017-07-05	LR	H	anciens	Tombe	1
2017-07-05	LREM	H	anciens	Adopté	2
2017-07-05	LREM	H	nouveaux	Adopté	1
2017-07-05	LREM	H	nouveaux	Retiré	1
2017-07-05	NG	F	anciens	Adopté	1
2017-07-05	NG	H	anciens	Rejeté	1
2017-07-05	NI	H	anciens	Non soutenu	1
2017-07-06	LC	H	anciens	Rejeté	1
2017-07-06	LFI	F	nouveaux	Rejeté	3
2017-07-06	LFI	H	nouveaux	Rejeté	4
2017-07-06	LR	H	anciens	Rejeté	13
2017-07-07	LFI	F	nouveaux	Irrecevable	1
2017-07-07	LFI	F	nouveaux	Rejeté	2
2017-07-07	LFI	F	nouveaux	Retiré	2
2017-07-07	LFI	H	nouveaux	Rejeté	1
2017-07-07	LR	H	anciens	Rejeté	2
2017-07-07	LR	H	anciens	Retiré	1
2017-07-07	LR	H	nouveaux	Retiré	1
2017-07-08	GDR	H	anciens	Rejeté	3
2017-07-08	GDR	H	nouveaux	Adopté	5
2017-07-08	GDR	H	nouveaux	Non soutenu	3
2017-07-08	GDR	H	nouveaux	Rejeté	55
2017-07-08	GDR	H	nouveaux	Tombe	1
2017-07-08	LC	F	anciens	Rejeté	3
2017-07-08	LC	H	anciens	Adopté	1
2017-07-08	LC	H	anciens	Rejeté	4
2017-07-08	LC	H	nouveaux	Rejeté	1
2017-07-08	LFI	H	nouveaux	Non soutenu	1
2017-07-08	LFI	H	nouveaux	Rejeté	57
2017-07-08	LR	H	anciens	Adopté	2
2017-07-08	LR	H	anciens	Non soutenu	2
2017-07-08	LR	H	anciens	Rejeté	20
2017-07-08	LREM	H	nouveaux	Adopté	12
2017-07-08	MODEM	H	nouveaux	Adopté	3
2017-07-08	MODEM	H	nouveaux	Rejeté	2
2017-07-08	NG	F	anciens	Non soutenu	1
2017-07-08	NG	H	nouveaux	Adopté	3
2017-07-08	NG	H	nouveaux	Rejeté	24
2017-07-08	NG	H	nouveaux	Retiré	1
2017-07-08	NI	F	anciens	Non soutenu	3
2017-07-08	NI	F	anciens	Rejeté	2
2017-07-08	NI	F	anciens	Retiré	1
2017-07-08	NI	F	nouveaux	Retiré	3
2017-07-08	NI	H	anciens	Non soutenu	2
2017-07-08	NI	H	anciens	Rejeté	1
2017-07-08	NI	H	nouveaux	Rejeté	5
2017-07-10	GDR	H	nouveaux	Non soutenu	1
2017-07-10	GDR	H	nouveaux	Rejeté	23
2017-07-10	LC	F	nouveaux	Rejeté	1
2017-07-10	LC	H	anciens	Adopté	1
2017-07-10	LC	H	anciens	Rejeté	3
2017-07-10	LC	H	anciens	Retiré	2
2017-07-10	LC	H	anciens	Tombe	1
2017-07-10	LFI	H	nouveaux	Non soutenu	1
2017-07-10	LFI	H	nouveaux	Rejeté	25
2017-07-10	LFI	H	nouveaux	Tombe	1
2017-07-10	LR	H	anciens	Adopté	2
2017-07-10	LR	H	anciens	Non soutenu	14
2017-07-10	LR	H	anciens	Rejeté	13
2017-07-10	LR	H	anciens	Retiré	11
2017-07-10	LREM	H	anciens	Adopté	1
2017-07-10	LREM	H	nouveaux	Adopté	7
2017-07-10	LREM	H	nouveaux	Retiré	2
2017-07-10	MODEM	H	nouveaux	Adopté	1
2017-07-10	MODEM	H	nouveaux	Rejeté	2
2017-07-10	NG	F	anciens	Rejeté	1
2017-07-10	NG	H	nouveaux	Rejeté	3
2017-07-10	NG	H	nouveaux	Retiré	1
2017-07-10	NI	H	anciens	Non soutenu	1
2017-07-10	NI	H	anciens	Rejeté	1
2017-07-11	GDR	H	nouveaux	Irrecevable	1
2017-07-11	LR	F	anciens	Rejeté	1
2017-07-11	LR	H	anciens	Irrecevable	1
2017-07-11	LR	H	anciens	Non soutenu	1
2017-07-11	LR	H	anciens	Rejeté	2
2017-07-11	LR	H	anciens	Retiré	1
2017-07-11	LREM	H	nouveaux	Adopté	14
2017-07-11	LREM	H	nouveaux	Irrecevable	1
2017-07-11	LREM	H	nouveaux	Retiré	2
2017-07-11	NI	F	anciens	Retiré	1
2017-07-12	LC	H	anciens	Rejeté	1
2017-07-12	LREM	H	nouveaux	Adopté	1
2017-07-17	GDR	H	nouveaux	Rejeté	2
2017-07-17	LFI	F	nouveaux	Rejeté	6
2017-07-17	LFI	F	nouveaux	Retiré	1
2017-07-17	LR	H	anciens	Rejeté	1
2017-07-17	LREM	H	nouveaux	Adopté	18
2017-07-17	NG	H	anciens	Rejeté	1
2017-07-17	NG	H	anciens	Retiré	1
2017-07-17	NI	H	anciens	Non soutenu	2
2017-07-18	LC	F	nouveaux	Non soutenu	1
2017-07-18	LC	F	nouveaux	Rejeté	1
2017-07-18	LC	H	anciens	Rejeté	1
2017-07-18	LFI	F	nouveaux	Rejeté	2
2017-07-18	LFI	F	nouveaux	Retiré	1
2017-07-18	LFI	H	nouveaux	Rejeté	4
2017-07-18	LR	F	nouveaux	Non soutenu	1
2017-07-18	LR	H	anciens	Rejeté	3
