date,tous_groupes_NI,tous_groupes_GDR,tous_groupes_LC,tous_groupes_LFI,tous_groupes_LR,tous_groupes_LREM,tous_groupes_MODEM,tous_groupes_NG,tous_genre_Hommes,tous_genre_Femmes,tous_renouveau_Députés réélus,tous_renouveau_Nouveaux députés,commissions_groupes_GDR,commissions_groupes_LC,commissions_groupes_LFI,commissions_groupes_LR,commissions_groupes_LREM,commissions_groupes_MODEM,commissions_groupes_NG,commissions_groupes_NI,commissions_genre_Femmes,commissions_genre_Hommes,commissions_renouveau_Députés réélus,commissions_renouveau_Nouveaux députés,hemicycle_groupes_NI,hemicycle_groupes_GDR,hemicycle_groupes_LC,hemicycle_groupes_LFI,hemicycle_groupes_LR,hemicycle_groupes_LREM,hemicycle_groupes_MODEM,hemicycle_groupes_NG,hemicycle_genre_Hommes,hemicycle_genre_Femmes,hemicycle_renouveau_Députés réélus,hemicycle_renouveau_Nouveaux députés
2017-06-27,3369,0,0,0,0,0,0,0,3369,0,3369,0,0,0,0,0,0,0,0,0,0,0,0,0,3369,0,0,0,0,0,0,0,3369,0,3369,0
2017-06-28,34,248,596,1097,1072,2612,205,943,6788,19,5505,1302,0,0,0,0,0,0,0,0,0,0,0,0,34,248,596,1097,1072,2612,205,943,6788,19,5505,1302
2017-06-29,669,536,944,538,1399,3873,348,911,5554,3664,5330,3888,536,944,538,1399,3873,348,911,669,3664,5554,5330,3888,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-03,0,0,1217,0,1966,1917,1553,1538,6225,1966,6633,1558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1217,0,1966,1917,1553,1538,6225,1966,6633,1558
2017-07-04,1541,2888,2736,2457,5874,7180,2767,4348,26301,3490,19025,10766,909,918,804,2194,3100,1115,2360,564,3391,8573,6454,5510,977,1979,1818,1653,3680,4080,1652,1988,17728,99,12571,5256
2017-07-05,317,8554,2908,11882,13477,23778,2714,9123,54815,17938,30409,42344,8124,2311,11422,12724,21299,2092,8778,296,16625,50421,27707,39339,21,430,597,460,753,2479,622,345,4394,1313,2702,3005
2017-07-06,1846,3344,4179,10094,8229,13669,1550,3744,39150,7505,20110,26545,1787,110,1477,1256,3971,130,1311,32,699,9375,3609,6465,1814,1557,4069,8617,6973,9698,1420,2433,29775,6806,16501,20080
2017-07-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10,2042,10904,2698,12406,3767,15935,2828,6872,44578,12874,16615,40837,0,0,0,0,0,0,0,0,0,0,0,0,2042,10904,2698,12406,3767,15935,2828,6872,44578,12874,16615,40837
2017-07-11,1328,18046,3239,13248,9591,22984,3279,5005,66235,10485,20754,55966,1157,917,1767,2765,6243,1917,1060,259,4111,11974,5101,10984,1069,16889,2322,11481,6826,16741,1362,3945,54261,6374,15653,44982
2017-07-12,1154,15803,5235,16428,12199,34286,5212,6573,78679,18211,32868,64022,1533,3475,2550,8401,17854,1674,2078,578,10091,28052,23744,14399,576,14270,1760,13878,3798,16432,3538,4495,50627,8120,9124,49623
2017-07-13,701,12757,2799,20368,8009,26769,2486,4293,64720,13462,14836,63346,648,110,245,507,8268,196,421,0,3670,6725,2077,8318,701,12109,2689,20123,7502,18501,2290,3872,57995,9792,12759,55028
2017-07-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-18,1943,5692,7634,11267,24017,32921,6599,10643,73930,26786,49985,50731,1660,2858,2495,10295,14269,3283,6004,280,13142,28002,21978,19166,1663,4032,4776,8772,13722,18652,3316,4639,45928,13644,28007,31565
2017-07-19,5286,5502,11488,20007,26951,51763,12523,18148,97011,54657,53202,98466,2851,8465,15012,21278,39063,10349,16761,2572,39464,76887,44629,71722,2714,2651,3023,4995,5673,12700,2174,1387,20124,15193,8573,26744
2017-07-20,1185,1954,2122,2897,6457,15993,1980,3367,22636,13319,13570,22385,209,463,665,1233,4411,507,1376,0,4370,4494,2153,6711,1185,1745,1659,2232,5224,11582,1473,1991,18142,8949,11417,15674
2017-07-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-24,2353,9142,5027,12172,8680,12344,3211,10894,40924,22899,26200,37623,0,0,0,0,0,0,0,0,0,0,0,0,2353,9142,5027,12172,8680,12344,3211,10894,40924,22899,26200,37623
2017-07-25,2232,7761,4853,10761,18753,21205,4357,8021,53614,24329,34652,43291,1111,1994,1696,2774,6853,2379,1711,187,6983,11722,6488,12217,2045,6650,2859,9065,15979,14352,1978,6310,41892,17346,28164,31074
2017-07-26,1560,4406,4513,10220,25839,33795,4857,8658,65186,28662,40593,53255,1060,2601,3636,7189,15193,3134,2004,1182,10807,25192,12485,23514,378,3346,1912,6584,18650,18602,1723,6654,39994,17855,28108,29741
2017-07-27,3757,3653,5041,6818,29005,26866,4857,7720,66547,21170,41156,46561,307,221,230,571,1744,247,0,0,1901,1419,837,2483,3757,3346,4820,6588,28434,25122,4610,7720,65128,19269,40319,44078
2017-07-28,3178,9777,12124,15593,22313,28596,3761,17124,81205,31261,52631,59835,0,0,0,0,0,0,0,0,0,0,0,0,3178,9777,12124,15593,22313,28596,3761,17124,81205,31261,52631,59835
2017-07-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-31,0,235,389,512,422,1830,0,416,2061,1743,640,3164,235,389,512,422,1830,0,416,0,1743,2061,640,3164,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-01,0,1857,1289,5071,2291,4733,1816,1842,13042,5857,2906,15993,0,0,0,0,0,0,0,0,0,0,0,0,0,1857,1289,5071,2291,4733,1816,1842,13042,5857,2906,15993
2017-08-02,354,3485,4683,4968,10549,14933,3557,4634,34546,12617,15899,31264,260,1688,1965,7386,7888,1396,906,339,8157,13671,6540,15288,15,3225,2995,3003,3163,7045,2161,3728,20875,4460,9359,15976
2017-08-03,1618,3587,4175,8593,19158,20726,3772,11372,49201,23800,26802,46199,0,106,0,1367,2829,0,0,0,1692,2610,0,4302,1618,3587,4069,8593,17791,17897,3772,11372,46591,22108,26802,41897
2017-08-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
