date	groupes	genre	renouveau	debats	interventions	total
2007-06-28	GDR	H	anciens	commissions	longues	211
2007-06-28	NC	H	anciens	commissions	longues	173
2007-06-28	SRC	H	anciens	commissions	longues	372
2007-06-28	SRC	H	anciens	commissions	presidence	636
2007-06-28	UMP	F	anciens	commissions	longues	26
2007-06-28	UMP	H	anciens	commissions	invectives	23
2007-06-28	UMP	H	anciens	commissions	longues	432
2007-06-28	UMP	H	anciens	commissions	presidence	1437
2007-07-03	GDR	F	anciens	hemicycle	invectives	21
2007-07-03	GDR	F	anciens	hemicycle	longues	918
2007-07-03	GDR	H	anciens	hemicycle	invectives	472
2007-07-03	GDR	H	anciens	hemicycle	longues	3234
2007-07-03	NC	H	anciens	hemicycle	invectives	29
2007-07-03	NC	H	anciens	hemicycle	longues	3826
2007-07-03	NI	H	anciens	hemicycle	invectives	33
2007-07-03	NI	H	anciens	hemicycle	longues	1558
2007-07-03	SRC	F	anciens	commissions	longues	1033
2007-07-03	SRC	F	anciens	hemicycle	invectives	5
2007-07-03	SRC	H	anciens	commissions	longues	944
2007-07-03	SRC	H	anciens	hemicycle	invectives	427
2007-07-03	SRC	H	anciens	hemicycle	longues	4808
2007-07-03	UMP	F	anciens	commissions	longues	454
2007-07-03	UMP	F	anciens	hemicycle	invectives	86
2007-07-03	UMP	H	anciens	commissions	longues	89
2007-07-03	UMP	H	anciens	commissions	presidence	3182
2007-07-03	UMP	H	anciens	hemicycle	invectives	445
2007-07-03	UMP	H	anciens	hemicycle	longues	4065
2007-07-03	UMP	H	anciens	hemicycle	presidence	646
2007-07-04	GDR	F	anciens	hemicycle	longues	1141
2007-07-04	GDR	H	anciens	commissions	longues	1301
2007-07-04	GDR	H	anciens	hemicycle	invectives	242
2007-07-04	GDR	H	anciens	hemicycle	longues	3182
2007-07-04	NC	H	anciens	commissions	longues	6289
2007-07-04	NC	H	anciens	hemicycle	invectives	34
2007-07-04	NC	H	anciens	hemicycle	longues	3542
2007-07-04	NI	H	anciens	hemicycle	longues	1260
2007-07-04	SRC	F	anciens	commissions	invectives	20
2007-07-04	SRC	F	anciens	commissions	longues	1771
2007-07-04	SRC	F	anciens	hemicycle	longues	1537
2007-07-04	SRC	H	anciens	commissions	invectives	14
2007-07-04	SRC	H	anciens	commissions	longues	9803
2007-07-04	SRC	H	anciens	commissions	presidence	347
2007-07-04	SRC	H	anciens	hemicycle	invectives	142
2007-07-04	SRC	H	anciens	hemicycle	longues	2924
2007-07-04	UMP	F	anciens	commissions	invectives	32
2007-07-04	UMP	F	anciens	commissions	longues	911
2007-07-04	UMP	F	anciens	hemicycle	invectives	8
2007-07-04	UMP	F	anciens	hemicycle	longues	1236
2007-07-04	UMP	H	anciens	commissions	invectives	50
2007-07-04	UMP	H	anciens	commissions	longues	15196
2007-07-04	UMP	H	anciens	commissions	presidence	7133
2007-07-04	UMP	H	anciens	hemicycle	invectives	425
2007-07-04	UMP	H	anciens	hemicycle	longues	5580
2007-07-04	UMP	H	anciens	hemicycle	presidence	893
2007-07-05	GDR	H	anciens	commissions	longues	1286
2007-07-05	NC	H	anciens	commissions	longues	3349
2007-07-05	SRC	H	anciens	commissions	invectives	10
2007-07-05	SRC	H	anciens	commissions	longues	4897
2007-07-05	SRC	H	anciens	commissions	presidence	899
2007-07-05	UMP	F	anciens	commissions	longues	29
2007-07-05	UMP	H	anciens	commissions	invectives	20
2007-07-05	UMP	H	anciens	commissions	longues	2780
2007-07-10	GDR	F	anciens	hemicycle	invectives	33
2007-07-10	GDR	F	anciens	hemicycle	longues	2001
2007-07-10	GDR	H	anciens	hemicycle	invectives	1392
2007-07-10	GDR	H	anciens	hemicycle	longues	8288
2007-07-10	NC	H	anciens	commissions	longues	1314
2007-07-10	NC	H	anciens	hemicycle	invectives	105
2007-07-10	NC	H	anciens	hemicycle	longues	3717
2007-07-10	SRC	F	anciens	commissions	longues	96
2007-07-10	SRC	F	anciens	hemicycle	invectives	136
2007-07-10	SRC	F	anciens	hemicycle	longues	3509
2007-07-10	SRC	F	anciens	hemicycle	presidence	618
2007-07-10	SRC	H	anciens	commissions	invectives	70
2007-07-10	SRC	H	anciens	commissions	longues	3646
2007-07-10	SRC	H	anciens	commissions	presidence	1131
2007-07-10	SRC	H	anciens	hemicycle	invectives	942
2007-07-10	SRC	H	anciens	hemicycle	longues	18448
2007-07-10	UMP	F	anciens	hemicycle	invectives	110
2007-07-10	UMP	F	anciens	hemicycle	longues	787
2007-07-10	UMP	H	anciens	commissions	longues	1830
2007-07-10	UMP	H	anciens	commissions	presidence	169
2007-07-10	UMP	H	anciens	hemicycle	invectives	898
2007-07-10	UMP	H	anciens	hemicycle	longues	23890
2007-07-10	UMP	H	anciens	hemicycle	presidence	704
2007-07-11	GDR	F	anciens	commissions	longues	188
2007-07-11	GDR	F	anciens	hemicycle	invectives	100
2007-07-11	GDR	F	anciens	hemicycle	longues	3856
2007-07-11	GDR	H	anciens	commissions	invectives	9
2007-07-11	GDR	H	anciens	commissions	longues	887
2007-07-11	GDR	H	anciens	hemicycle	invectives	1107
2007-07-11	GDR	H	anciens	hemicycle	longues	11714
2007-07-11	NC	H	anciens	commissions	longues	940
2007-07-11	NC	H	anciens	hemicycle	invectives	65
2007-07-11	NC	H	anciens	hemicycle	longues	3251
2007-07-11	NC	H	anciens	hemicycle	presidence	1253
2007-07-11	SRC	F	anciens	commissions	longues	637
2007-07-11	SRC	F	anciens	hemicycle	invectives	64
2007-07-11	SRC	F	anciens	hemicycle	longues	1953
2007-07-11	SRC	F	anciens	hemicycle	presidence	7461
2007-07-11	SRC	H	anciens	commissions	longues	3456
2007-07-11	SRC	H	anciens	commissions	presidence	2607
2007-07-11	SRC	H	anciens	hemicycle	invectives	990
2007-07-11	SRC	H	anciens	hemicycle	longues	24246
2007-07-11	UMP	F	anciens	commissions	longues	598
2007-07-11	UMP	F	anciens	commissions	presidence	401
2007-07-11	UMP	F	anciens	hemicycle	invectives	72
2007-07-11	UMP	H	anciens	commissions	invectives	74
2007-07-11	UMP	H	anciens	commissions	longues	15801
2007-07-11	UMP	H	anciens	commissions	presidence	1711
2007-07-11	UMP	H	anciens	hemicycle	invectives	1491
2007-07-11	UMP	H	anciens	hemicycle	longues	14135
2007-07-12	GDR	H	anciens	hemicycle	invectives	989
2007-07-12	GDR	H	anciens	hemicycle	longues	23824
2007-07-12	NC	H	anciens	commissions	longues	308
2007-07-12	NC	H	anciens	hemicycle	invectives	61
2007-07-12	NC	H	anciens	hemicycle	longues	2479
2007-07-12	NC	H	anciens	hemicycle	presidence	2347
2007-07-12	SRC	F	anciens	hemicycle	invectives	96
2007-07-12	SRC	F	anciens	hemicycle	longues	3530
2007-07-12	SRC	H	anciens	hemicycle	invectives	1366
2007-07-12	SRC	H	anciens	hemicycle	longues	24952
2007-07-12	UMP	F	anciens	hemicycle	invectives	7
2007-07-12	UMP	F	anciens	hemicycle	longues	65
2007-07-12	UMP	H	anciens	hemicycle	invectives	2531
2007-07-12	UMP	H	anciens	hemicycle	longues	17920
2007-07-12	UMP	H	anciens	hemicycle	presidence	5772
2007-07-13	GDR	H	anciens	hemicycle	invectives	1142
2007-07-13	GDR	H	anciens	hemicycle	longues	17812
2007-07-13	NC	H	anciens	hemicycle	longues	1024
2007-07-13	SRC	F	anciens	hemicycle	invectives	10
2007-07-13	SRC	H	anciens	hemicycle	invectives	632
2007-07-13	SRC	H	anciens	hemicycle	longues	15956
2007-07-13	UMP	H	anciens	hemicycle	invectives	1324
2007-07-13	UMP	H	anciens	hemicycle	longues	10687
2007-07-13	UMP	H	anciens	hemicycle	presidence	7313
2007-07-16	GDR	H	anciens	hemicycle	invectives	1337
2007-07-16	GDR	H	anciens	hemicycle	longues	16089
2007-07-16	NC	H	anciens	hemicycle	invectives	120
2007-07-16	NC	H	anciens	hemicycle	longues	8534
2007-07-16	NI	H	anciens	hemicycle	invectives	5
2007-07-16	NI	H	anciens	hemicycle	longues	1206
2007-07-16	SRC	F	anciens	hemicycle	invectives	48
2007-07-16	SRC	F	anciens	hemicycle	longues	3105
2007-07-16	SRC	H	anciens	hemicycle	invectives	921
2007-07-16	SRC	H	anciens	hemicycle	longues	22331
2007-07-16	UMP	F	anciens	hemicycle	invectives	57
2007-07-16	UMP	F	anciens	hemicycle	longues	1125
2007-07-16	UMP	H	anciens	hemicycle	invectives	1533
2007-07-16	UMP	H	anciens	hemicycle	longues	22375
2007-07-16	UMP	H	anciens	hemicycle	presidence	5038
2007-07-17	GDR	H	anciens	hemicycle	invectives	141
2007-07-17	GDR	H	anciens	hemicycle	longues	12428
2007-07-17	NC	H	anciens	commissions	invectives	13
2007-07-17	NC	H	anciens	commissions	longues	1207
2007-07-17	NC	H	anciens	hemicycle	invectives	95
2007-07-17	NC	H	anciens	hemicycle	longues	3668
2007-07-17	NI	H	anciens	hemicycle	invectives	3
2007-07-17	NI	H	anciens	hemicycle	longues	989
2007-07-17	SRC	F	anciens	commissions	longues	2588
2007-07-17	SRC	F	anciens	hemicycle	invectives	103
2007-07-17	SRC	F	anciens	hemicycle	longues	4408
2007-07-17	SRC	H	anciens	commissions	invectives	33
2007-07-17	SRC	H	anciens	commissions	longues	4978
2007-07-17	SRC	H	anciens	hemicycle	invectives	1642
2007-07-17	SRC	H	anciens	hemicycle	longues	23307
2007-07-17	UMP	F	anciens	commissions	longues	115
2007-07-17	UMP	F	anciens	hemicycle	invectives	50
2007-07-17	UMP	F	anciens	hemicycle	longues	1081
2007-07-17	UMP	H	anciens	commissions	invectives	45
2007-07-17	UMP	H	anciens	commissions	longues	9307
2007-07-17	UMP	H	anciens	commissions	presidence	2625
2007-07-17	UMP	H	anciens	hemicycle	invectives	1751
2007-07-17	UMP	H	anciens	hemicycle	longues	18671
2007-07-17	UMP	H	anciens	hemicycle	presidence	2964
2007-07-18	GDR	F	anciens	commissions	longues	257
2007-07-18	GDR	H	anciens	commissions	longues	948
2007-07-18	GDR	H	anciens	hemicycle	invectives	124
2007-07-18	GDR	H	anciens	hemicycle	longues	4233
2007-07-18	NC	H	anciens	commissions	longues	472
2007-07-18	NC	H	anciens	hemicycle	invectives	18
2007-07-18	NC	H	anciens	hemicycle	longues	1419
