date,groupes,genre,renouveau,statut,duree,ministre,theme,total
2017-07-04,LC,H,anciens,attente,4,Ministère de l’intérieur,administration,1
2017-07-04,LC,H,anciens,attente,4,Ministère de la culture,Français de l'étranger,1
2017-07-04,LC,H,anciens,attente,4,Ministère des solidarités et de la santé,maladies,1
2017-07-04,LFI,H,nouveaux,reponse,3,Ministère du travail,emploi et activité,1
2017-07-04,LR,F,anciens,attente,4,Ministère de la justice,entreprises,1
2017-07-04,LR,H,anciens,attente,4,Ministère de l'économie et des finances,industrie,1
2017-07-04,LR,H,anciens,attente,4,Ministère de l’intérieur,communes,1
2017-07-04,LR,H,anciens,attente,4,Ministère de l’intérieur,papiers d'identité,1
2017-07-04,LR,H,anciens,attente,4,Ministère de la transition écologique et solidaire,énergie et carburants,1
2017-07-04,LR,H,anciens,attente,4,Ministère des solidarités et de la santé,sécurité sociale,1
2017-07-04,LR,H,anciens,reponse,1,Ministère de l'action et des comptes publics,anciens combattants et victimes de guerre,1
2017-07-04,LR,H,anciens,reponse,1,Ministère de l'agriculture et de l'alimentation,agriculture,1
2017-07-04,LR,H,anciens,reponse,2,Ministère de l'action et des comptes publics,finances publiques,1
2017-07-04,LR,H,anciens,reponse,2,Ministère de l’intérieur,police,1
2017-07-04,LR,H,anciens,reponse,3,Secrétariat d'État, auprès du Premier ministre, chargé des personnes handicapées,handicapés,1
2017-07-04,LR,H,anciens,retrait,0,Ministère de la transition écologique et solidaire,énergie et carburants,1
2017-07-04,LR,H,anciens,retrait,0,Secrétariat d'État, auprès du Premier ministre, chargé des personnes handicapées,handicapés,1
2017-07-04,LR,H,nouveaux,attente,4,Ministère des solidarités et de la santé,médecine,1
2017-07-04,LREM,H,anciens,attente,4,Ministère de l'économie et des finances,banques et établissements financiers,1
2017-07-04,LREM,H,anciens,attente,4,Ministère des solidarités et de la santé,sécurité sociale,1
2017-07-04,LREM,H,anciens,reponse,3,Ministère de l'économie et des finances,consommation,1
2017-07-04,LREM,H,anciens,reponse,3,Ministère de la cohésion des territoires,logement,1
2017-07-04,LREM,H,nouveaux,reponse,3,Ministère du travail,emploi et activité,1
2017-07-04,NG,F,anciens,attente,4,Ministère auprès du ministre d'État, ministre de la transition écologique et solidaire, chargé des transports,transports ferroviaires,1
2017-07-04,NG,F,anciens,attente,4,Ministère de l'économie et des finances,commerce et artisanat,1
2017-07-04,NG,F,anciens,attente,4,Ministère de l'éducation nationale,enseignement maternel et primaire,1
2017-07-04,NG,F,anciens,attente,4,Ministère des solidarités et de la santé,santé,1
2017-07-04,NG,F,anciens,reponse,2,Ministère auprès du ministre d'État, ministre de la transition écologique et solidaire, chargé des transports,transports,1
2017-07-04,NG,F,anciens,reponse,2,Ministère des solidarités et de la santé,handicapés,1
2017-07-04,NG,H,anciens,attente,4,Ministère de l'éducation nationale,enseignement maternel et primaire,1
2017-07-04,NG,H,anciens,attente,4,Secrétariat d'État, auprès du Premier ministre, chargé des personnes handicapées,handicapés,1
2017-07-04,NI,H,anciens,attente,4,Ministère de l'économie et des finances,Parlement,1
2017-07-04,NI,H,anciens,attente,4,Ministère de la culture,presse et livres,1
2017-07-04,NI,H,anciens,reponse,1,Ministère de l’intérieur,presse et livres,1
2017-07-11,GDR,H,nouveaux,reponse,2,Ministère de l'agriculture et de l'alimentation,chasse et pêche,1
2017-07-11,LC,H,anciens,attente,3,Ministère auprès du ministre d'État, ministre de la transition écologique et solidaire, chargé des transports,voirie,1
2017-07-11,LC,H,anciens,attente,3,Ministère de l'économie et des finances,emploi et activité,1
2017-07-11,LC,H,anciens,reponse,3,Ministère des solidarités et de la santé,santé,1
2017-07-11,LFI,F,nouveaux,attente,3,Ministère de l’intérieur,ordre public,1
2017-07-11,LFI,H,nouveaux,attente,3,Ministère de l'éducation nationale,enseignement,1
2017-07-11,LR,F,anciens,attente,3,Ministère de la cohésion des territoires,aménagement du territoire,1
2017-07-11,LR,F,anciens,reponse,1,Ministère de l'agriculture et de l'alimentation,agriculture,1
2017-07-11,LR,F,anciens,reponse,3,Ministère de l'agriculture et de l'alimentation,consommation,1
2017-07-11,LR,H,anciens,attente,3,Ministère auprès du ministre d'État, ministre de la transition écologique et solidaire, chargé des transports,transports ferroviaires,1
2017-07-11,LR,H,anciens,attente,3,Ministère auprès du ministre d'État, ministre de la transition écologique et solidaire, chargé des transports,transports routiers,1
2017-07-11,LR,H,anciens,attente,3,Ministère de l'économie et des finances,commerce extérieur,1
2017-07-11,LR,H,anciens,attente,3,Ministère de l'économie et des finances,impôt de solidarité sur la fortune,1
2017-07-11,LR,H,anciens,attente,3,Ministère de l'économie et des finances,Parlement,1
2017-07-11,LR,H,anciens,attente,3,Ministère de l'éducation nationale,culture,1
2017-07-11,LR,H,anciens,attente,3,Ministère de l’intérieur,administration,1
2017-07-11,LR,H,anciens,attente,3,Ministère de la cohésion des territoires,communes,1
2017-07-11,LR,H,anciens,attente,3,Ministère de la justice,justice,1
2017-07-11,LR,H,anciens,attente,3,Ministère des solidarités et de la santé,médecine,1
2017-07-11,LR,H,anciens,attente,3,Ministère des solidarités et de la santé,santé,2
2017-07-11,LR,H,anciens,attente,3,Ministère du travail,chômage,1
2017-07-11,LR,H,anciens,reponse,1,Ministère de l'agriculture et de l'alimentation,agriculture,1
2017-07-11,LR,H,anciens,reponse,1,Ministère des solidarités et de la santé,professions de santé,1
2017-07-11,LR,H,anciens,reponse,3,Ministère de l'agriculture et de l'alimentation,chasse et pêche,1
2017-07-11,LR,H,anciens,reponse,3,Ministère de l'éducation nationale,enseignement technique et professionnel,1
2017-07-11,LR,H,anciens,reponse,3,Ministère des solidarités et de la santé,santé,1
2017-07-11,LREM,H,nouveaux,attente,3,Ministère de la justice,aide aux victimes,1
2017-07-11,NG,F,anciens,attente,3,Ministère auprès du ministre d'État, ministre de la transition écologique et solidaire, chargé des transports,traités et conventions,1
2017-07-11,NG,F,anciens,attente,3,Ministère de l'action et des comptes publics,impôts et taxes,1
2017-07-11,NG,F,anciens,attente,3,Ministère de l'action et des comptes publics,logement,1
2017-07-11,NG,F,anciens,attente,3,Ministère de l'action et des comptes publics,retraites : régimes autonomes et spéciaux,1
2017-07-11,NG,F,anciens,attente,3,Ministère de l'économie et des finances,banques et établissements financiers,1
2017-07-11,NG,F,anciens,attente,3,Ministère de l'éducation nationale,enseignement,1
2017-07-11,NG,F,anciens,attente,3,Ministère de l’intérieur,papiers d'identité,1
2017-07-11,NG,F,anciens,attente,3,Ministère de la transition écologique et solidaire,santé,1
