date	groupes	genre	renouveau	statut	mois	duree	ministre	total
2017-07-04	LC	H	anciens	reponse	5	3-6	Ministère de l'intérieur	1
2017-07-04	LC	H	anciens	reponse	5	3-6	Ministère de la culture	1
2017-07-04	LC	H	anciens	reponse	9	6-12	Ministère des solidarités et de la santé	1
2017-07-04	LFI	H	nouveaux	reponse	2	3	Ministère du travail	1
2017-07-04	LR	F	anciens	reponse	8	6-12	Ministère de la justice	1
2017-07-04	LR	H	anciens	reponse	0	1	Ministère de l'action et des comptes publics	1
2017-07-04	LR	H	anciens	reponse	0	1	Ministère de l'agriculture et de l'alimentation	1
2017-07-04	LR	H	anciens	reponse	22	12+	Ministère de l'intérieur	1
2017-07-04	LR	H	anciens	reponse	1	2	Ministère de l'intérieur	1
2017-07-04	LR	H	anciens	reponse	2	3	Ministère de l'action et des comptes publics	1
2017-07-04	LR	H	anciens	reponse	4	3-6	Ministère de l'économie et des finances	1
2017-07-04	LR	H	anciens	reponse	3	3-6	Ministère de l'intérieur	1
2017-07-04	LR	H	anciens	reponse	5	3-6	Ministère de la transition écologique et solidaire	1
2017-07-04	LR	H	anciens	reponse	5	3-6	Ministère des solidarités et de la santé	1
2017-07-04	LR	H	anciens	reponse	3	3-6	Premier ministre, des personnes handicapées	1
2017-07-04	LR	H	anciens	retrait	0	1	Ministère de la transition écologique et solidaire	1
2017-07-04	LR	H	anciens	retrait	0	1	Premier ministre, des personnes handicapées	1
2017-07-04	LR	H	nouveaux	reponse	17	12+	Ministère des solidarités et de la santé	1
2017-07-04	LREM	H	anciens	attente	45	12+	Ministère de l'économie et des finances	1
2017-07-04	LREM	H	anciens	reponse	3	3-6	Ministère de l'économie et des finances	1
2017-07-04	LREM	H	anciens	reponse	3	3-6	Ministère de la cohésion des territoires	1
2017-07-04	LREM	H	anciens	reponse	5	3-6	Ministère des solidarités et de la santé	1
2017-07-04	LREM	H	nouveaux	reponse	2	3	Ministère du travail	1
2017-07-04	NG	F	anciens	reponse	1	2	Ministère de la transition écologique et solidaire, des transports	1
2017-07-04	NG	F	anciens	reponse	2	3	Ministère des solidarités et de la santé	1
2017-07-04	NG	F	anciens	reponse	4	3-6	Ministère de l'économie et des finances	1
2017-07-04	NG	F	anciens	reponse	4	3-6	Ministère de l'éducation nationale	1
2017-07-04	NG	F	anciens	reponse	6	6-12	Ministère de la transition écologique et solidaire, des transports	1
2017-07-04	NG	F	anciens	reponse	7	6-12	Ministère des solidarités et de la santé	1
2017-07-04	NG	H	anciens	reponse	4	3-6	Ministère de l'éducation nationale	1
2017-07-04	NG	H	anciens	reponse	7	6-12	Premier ministre, des personnes handicapées	1
2017-07-04	NI	H	anciens	reponse	13	12+	Ministère de la culture	1
2017-07-04	NI	H	anciens	reponse	1	2	Ministère de l'intérieur	1
2017-07-04	NI	H	anciens	reponse	5	3-6	Ministère de l'économie et des finances	1
2017-07-11	GDR	H	nouveaux	reponse	2	3	Ministère de l'agriculture et de l'alimentation	1
2017-07-11	LC	H	anciens	reponse	2	3	Ministère des solidarités et de la santé	1
2017-07-11	LC	H	anciens	reponse	4	3-6	Ministère de l'économie et des finances	1
2017-07-11	LC	H	anciens	reponse	3	3-6	Ministère de la transition écologique et solidaire, des transports	1
2017-07-11	LFI	F	nouveaux	reponse	7	6-12	Ministère de l'intérieur	1
2017-07-11	LFI	H	nouveaux	reponse	4	3-6	Ministère de l'éducation nationale	1
2017-07-11	LR	F	anciens	reponse	13	12+	Ministère de la cohésion des territoires	1
2017-07-11	LR	F	anciens	reponse	1	2	Ministère de l'agriculture et de l'alimentation	1
2017-07-11	LR	F	anciens	reponse	2	3	Ministère de l'agriculture et de l'alimentation	1
